device,ip,timestamp,host
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.099Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.100Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.105Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.111Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.111Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.111Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.111Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.115Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.117Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.117Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.117Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.117Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:51.121Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.037Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.057Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.068Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.068Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.068Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.069Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.070Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.072Z,Cablevision Systems Corp. (CVNT-Z)
